column_name,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,company_id
EPS (Quarter),203.59,215.64,215.37,138.67,127.36,279.5,169.43,128.92,151.81,126.05,92.09,52.49,65.73,162.24,118.81,144.23,149.81,113.33,128.82,113.63,165.23,133.49,123.01,116.02,119.23,105.47,125.66,95.82,102.78,98.9,76.87,60.94,97.45,100.29,98.61,115.82,115.53,125.68,116.76,147.05,114.74,111.38,106.46,117.33,123.33,124.27,1147.87,1073.03,1198.76,1058.45,1062.9,1167.88,1148.37,999.42,884.56,867.02,875.66,750.18,580.98,554.05,790.69,761.54,684.48,0.0,ASII
PE Ratio (Quarter),30.58,31.42,27.86,41.1,52.02,23.7,38.81,44.21,36.23,39.19,57.28,114.78,67.85,29.59,32.83,48.01,44.06,65.74,56.86,72.38,44.48,49.44,59.34,71.54,66.26,84.62,68.64,86.36,80.27,74.82,94.32,98.46,53.62,70.55,86.96,64.11,61.02,57.89,63.16,46.24,56.21,62.85,74.21,64.77,60.0,55.12,64.42,68.96,53.1,60.04,53.63,46.71,49.37,48.33,47.37,40.02,38.09,31.73,24.53,19.04,21.63,25.28,35.43,0.0,ASII
Price to Sales (Quarter),3.21,3.45,2.93,2.88,3.45,3.73,3.7,3.49,3.71,3.59,4.13,5.46,4.45,5.43,2.92,4.66,4.39,5.33,4.97,5.18,4.77,4.71,5.29,6.02,6.13,7.34,7.16,6.87,7.58,6.47,7.01,5.28,4.63,6.05,7.68,5.88,5.82,5.7,5.99,5.29,5.49,5.95,6.85,6.85,6.34,5.59,6.46,6.96,5.96,6.85,5.96,6.32,6.94,6.06,5.71,5.04,5.22,4.15,2.68,1.83,2.52,3.18,4.51,0.0,ASII
EBITDA (Quarter),12660000000000.0,15011000000000.0,13314000000000.0,14903000000000.0,13494000000000.0,14352000000000.0,12046000000000.0,9244000000000.0,11613000000000.0,9339000000000.0,7632000000000.0,5611000000000.0,6230000000000.0,4809000000000.0,9618000000000.0,9901000000000.0,10135000000000.0,9266000000000.0,10334000000000.0,9224000000000.0,10097000000000.0,8737000000000.0,8232000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASII
Return on Assets (Quarter),0.018600000000000002,0.020800000000000003,0.0201,0.013600000000000001,0.0125,0.0288,0.0179,0.014199999999999999,0.017,0.0144,0.0106,0.0063,0.0078000000000000005,0.0191,0.0131,0.0166,0.0169,0.0131,0.0146,0.013300000000000001,0.0201,0.0175,0.0163,0.0159,0.0166,0.0149,0.0182,0.0148,0.0166,0.016,0.012700000000000001,0.0101,0.0154,0.0167,0.016399999999999998,0.0199,0.0198,0.022400000000000003,0.0213,0.0278,0.0223,0.0229,0.023,0.026099999999999998,0.027999999999999997,0.029300000000000003,0.0286,0.028300000000000002,0.032400000000000005,0.0315,0.0349,0.04190000000000001,0.0431,0.038700000000000005,0.0374,0.0395,0.0414,0.0365,0.0292,0.0278,0.0412,0.041600000000000005,0.040999999999999995,0.0,ASII
Return on Equity (Quarter),0.0432,0.0468,0.04360000000000001,0.0292,0.027200000000000002,0.061500000000000006,0.0383,0.030299999999999997,0.0369,0.031400000000000004,0.0232,0.013700000000000002,0.0172,0.043,0.0311,0.0395,0.0424,0.0329,0.0368,0.0336,0.050499999999999996,0.042300000000000004,0.0386,0.038,0.0405,0.0366,0.0435,0.0346,0.0394,0.0384,0.029700000000000004,0.0242,0.0393,0.0414,0.0398,0.049,0.0517,0.0575,0.053099999999999994,0.0709,0.06,0.0601,0.05740000000000001,0.0667,0.0751,0.0785,0.0719,0.0719,0.0868,0.0804,0.0802,0.0959,0.0985,0.09380000000000001,0.0833,0.08800000000000001,0.0931,0.0864,0.0672,0.0678,0.1032,0.1039,0.0951,0.0,ASII
Return on Capital Employed (Quarter),0.0334,0.0402,0.0359,0.0393,0.0365,0.041299999999999996,0.034100000000000005,0.0276,0.028399999999999998,0.0252,0.0179,0.0085,0.011399999999999999,0.0079,0.0219,0.026400000000000003,0.027700000000000002,0.0242,0.029500000000000002,0.029900000000000003,0.0359,0.0304,0.0294,0.0288,0.0305,0.0229,0.028300000000000002,0.0335,0.025099999999999997,0.0242,0.0201,0.026099999999999998,0.0269,0.0258,0.0223,0.0348,0.0313,0.034,0.0335,0.0442,0.0342,0.0309,0.0298,0.0371,0.044000000000000004,0.046,0.0425,0.0443,0.050499999999999996,0.046200000000000005,0.0545,0.0579,0.053899999999999997,0.0512,0.0504,0.0534,0.06269999999999999,0.0587,0.0479,0.037000000000000005,0.0703,0.0767,0.1401,0.0,ASII
Interest Coverage (Quarter),10.91,18.54,20.2,20.61,19.16,22.4,17.96,13.32,12.84,11.29,7.49,2.72,3.9,2.4,5.71,6.09,6.06,5.23,6.56,6.77,8.99,9.06,11.0,11.12,10.94,7.89,10.01,12.86,9.94,8.57,8.73,10.98,13.67,13.85,12.11,14.99,9.2,19.33,21.01,23.36,16.36,13.48,14.43,17.2,19.67,20.51,20.71,21.13,25.25,23.28,34.17,36.09,26.67,31.11,28.48,27.14,27.37,31.69,20.17,14.71,25.6,29.51,23.35,0.0,ASII
Share Outstanding,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,31990000000.0,20850000000.0,20850000000.0,0.0,ADRO
EPS (Quarter),180.38,195.32,214.47,308.87,342.21,384.64,179.57,228.25,111.18,44.59,32.69,12.85,-18.33,19.11,50.24,-4.25,48.67,78.34,52.9,43.16,57.97,55.97,32.01,47.6,64.5,52.15,40.45,55.59,34.66,25.54,24.77,-16.74,32.83,25.5,24.16,-14.88,21.68,16.81,45.68,21.49,30.94,23.38,12.37,12.18,27.24,42.22,34.85,52.5,31.56,42.45,29.52,15.88,22.37,9.08,27.12,26.98,40.32,36.2,35.92,3.87,16.41,18.07,14.26,0.0,ADRO
PE Ratio (Quarter),15.8,11.42,13.52,12.46,11.57,7.44,14.98,9.86,15.83,27.02,35.94,111.28,-61.92,52.07,19.71,-365.88,26.51,17.36,25.43,28.15,31.65,31.98,66.54,39.08,28.29,30.3,43.26,30.49,34.77,33.28,26.04,-30.76,16.3,29.8,39.32,-69.89,54.2,69.9,21.45,50.72,29.09,36.78,105.9,130.54,55.07,34.34,55.38,33.71,54.5,57.71,74.53,160.58,90.52,219.16,72.27,64.12,35.47,33.15,24.5,125.32,85.31,0.0,0.0,0.0,ADRO
Price to Sales (Quarter),3.65,2.89,3.37,3.4,3.39,2.6,4.89,3.56,4.0,3.05,3.73,7.52,3.76,4.41,2.58,4.77,3.3,3.33,3.57,3.08,3.53,4.51,6.48,5.29,4.76,4.61,5.78,5.02,5.06,3.53,2.65,2.71,1.39,2.6,3.27,3.09,3.59,3.57,3.25,2.96,2.29,3.24,5.82,5.31,5.92,4.68,7.34,5.47,5.2,9.08,10.67,12.33,10.64,11.16,9.98,7.99,6.43,6.03,4.31,2.72,9.86,0.0,0.0,0.0,ADRO
EBITDA (Quarter),8592280000000.001,9454440000000.0,10451230000000.0,20412950000000.0,22323630000000.0,22374360000000.0,9808960000000.0,12723970000000.0,7591960000000.0,5489540000000.0,2968710000000.0,2557370000000.0,1603830000000.0,2760100000000.0,3590350000000.0,1283050000000.0,3918860000000.0,4791270000000.0,4089140000000.0,3075090000000.0,6731350000000.0,4545960000000.0,3606670000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADRO
Return on Assets (Quarter),0.0358,0.042800000000000005,0.0466,0.0588,0.0716,0.0941,0.0524,0.0674,0.0349,0.0146,0.0111,0.0046,-0.0061,0.0064,0.014199999999999999,-0.0014000000000000002,0.0152,0.0248,0.0169,0.013500000000000002,0.0174,0.0183,0.011000000000000001,0.0165,0.0223,0.0191,0.0149,0.0203,0.0139,0.0103,0.01,-0.006500000000000001,0.0115,0.0099,0.009300000000000001,-0.006,0.0076,0.006500000000000001,0.018600000000000002,0.0084,0.0128,0.0113,0.0061,0.006,0.013200000000000002,0.0209,0.0212,0.0327,0.021,0.0317,0.0232,0.0125,0.0176,0.0073,0.0207,0.0203,0.0351,0.0317,0.0316,0.0037,0.0166,0.020800000000000003,0.0175,0.0,ADRO
Return on Equity (Quarter),0.054900000000000004,0.0649,0.0706,0.1052,0.12400000000000001,0.1625,0.0876,0.1236,0.061399999999999996,0.0259,0.018600000000000002,0.008,-0.0108,0.0115,0.0263,-0.0026000000000000003,0.0285,0.047,0.0316,0.026099999999999998,0.0339,0.0352,0.0209,0.032400000000000005,0.0443,0.0379,0.03,0.0421,0.0281,0.021,0.0204,-0.013500000000000002,0.0246,0.0215,0.0209,-0.0138,0.0198,0.016,0.0452,0.020800000000000003,0.0316,0.0286,0.015600000000000001,0.015700000000000002,0.0356,0.0582,0.047400000000000005,0.076,0.0493,0.0709,0.051,0.0273,0.038900000000000004,0.016200000000000003,0.0477,0.0495,0.07540000000000001,0.0719,0.07400000000000001,0.0088,0.0373,0.1653,0.1501,0.0,ADRO
Return on Capital Employed (Quarter),0.0542,0.0635,0.0714,0.1506,0.17129999999999998,0.1991,0.0864,0.1234,0.0679,0.038,0.0258,0.009300000000000001,-0.0002,0.013200000000000002,0.0232,-0.0043,0.03,0.0401,0.0315,0.0203,0.0604,0.0392,0.027999999999999997,0.0375,0.0487,0.043899999999999995,0.032100000000000004,0.038700000000000005,0.0255,0.021400000000000002,0.0209,-0.0015,0.0221,0.0194,0.0209,0.005,0.019,0.0217,0.038700000000000005,0.0235,0.0333,0.027200000000000002,0.021,0.0188,0.0308,0.055,0.0535,0.0848,0.09,0.0776,0.0552,0.0391,0.0536,0.0444,0.0596,0.0737,0.0902,0.0852,0.0873,0.0567,0.0558,0.0882,0.126,0.0,ADRO
Interest Coverage (Quarter),16.36,20.26,23.47,43.15,53.39,63.45,30.83,41.95,23.12,8.44,6.35,3.19,-0.05,4.27,5.36,-2.06,9.79,17.39,10.06,9.3,17.25,15.64,10.72,17.87,19.48,19.35,14.82,16.56,11.24,9.47,9.4,-0.57,7.06,7.75,7.55,0.39,2.22,4.07,7.92,4.45,4.35,5.71,4.08,4.45,5.58,9.39,8.53,13.11,11.74,10.05,7.63,6.99,6.89,4.65,7.9,6.48,14.09,12.48,14.76,9.08,6.92,6.8,4.42,0.0,ADRO
Share Outstanding,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,38150000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,7630000000.0,0.0,7630000000.0,7630000000.0,0.0,7630000000.0,7630000000.0,7630000000.0,0.0,UNVR
EPS (Quarter),37.47,35.49,36.84,19.75,30.97,36.93,52.98,36.16,34.94,35.33,44.51,45.22,47.67,46.05,48.83,246.82,237.53,255.4,229.16,236.69,494.58,221.59,241.04,232.66,210.41,217.97,256.99,214.96,190.35,226.5,205.77,218.69,164.16,175.48,208.61,221.44,157.4,194.89,178.37,165.42,166.0,182.43,187.68,155.38,173.52,152.95,152.39,149.14,125.45,140.26,130.81,109.46,102.26,104.43,127.44,100.31,0.0,95.18,100.76,0.0,89.11,87.46,92.48,0.0,UNVR
PE Ratio (Quarter),99.81,120.03,118.08,237.97,155.96,129.16,69.08,113.66,113.05,140.11,147.72,162.54,169.92,171.55,148.47,170.16,195.76,176.19,214.81,191.81,95.08,208.04,205.46,240.26,232.76,223.88,168.59,180.5,234.04,199.01,208.61,169.19,231.48,225.1,190.07,145.86,202.03,150.21,163.98,157.18,181.63,168.56,121.48,134.19,150.13,149.72,131.24,126.06,131.53,106.23,116.96,150.74,164.78,162.79,95.34,110.16,0.0,97.18,78.9,0.0,84.17,77.18,74.61,0.0,UNVR
Price to Sales (Quarter),13.97,16.78,15.65,18.52,18.29,17.13,12.88,16.48,15.29,19.09,24.39,26.66,28.92,28.38,24.8,30.34,32.54,31.81,35.22,33.73,34.67,33.7,35.16,42.69,37.56,35.74,30.48,29.75,36.33,31.97,32.79,31.59,33.15,32.1,32.14,29.26,28.52,25.22,25.58,25.66,30.29,29.87,22.96,22.86,28.46,25.86,23.11,23.34,21.49,19.62,20.6,25.15,27.0,26.21,18.64,17.81,0.0,15.78,13.53,0.0,13.84,13.44,13.9,0.0,UNVR
EBITDA (Quarter),2061060000000.0,2008030000000.0,2095310000000.0,1307100000000.0,1799220000000.0,2147010000000.0002,2869460000000.0,2146429999999.9998,2054840000000.0002,2071530000000.0002,2483550000000.0,2683050000000.0,2582600000000.0,2600300000000.0,2688500000000.0,2943910000000.0,2761930000000.0,2928110000000.0,2616310000000.0,2677320000000.0,5481040000000.0,2422480000000.0,2747100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNVR
Return on Assets (Quarter),0.0755,0.0679,0.0719,0.041100000000000005,0.0584,0.0636,0.09910000000000001,0.0723,0.066,0.0665,0.0784,0.084,0.08630000000000002,0.08230000000000001,0.08650000000000001,0.09119999999999999,0.08710000000000001,0.0893,0.0793,0.0925,0.1887,0.0824,0.0909,0.09390000000000001,0.0853,0.0862,0.10550000000000001,0.09789999999999999,0.0867,0.0913,0.0943,0.1061,0.0784,0.0812,0.1077,0.1183,0.0792,0.0932,0.0951,0.09460000000000002,0.0949,0.0981,0.111,0.0989,0.1066,0.08380000000000001,0.0969,0.1086,0.09119999999999999,0.09230000000000001,0.0966,0.096,0.0906,0.0816,0.1126,0.1023,0.1099,0.09150000000000001,0.1033,0.0552,0.1033,0.09609999999999999,0.1134,0.0,UNVR
Return on Equity (Quarter),0.2657,0.344,0.263,0.1884,0.20620000000000002,0.3085,0.31670000000000004,0.31920000000000004,0.2503,0.3358,0.2588,0.3494,0.2804,0.1995,0.258,0.3565,0.2631,0.384,0.1929,0.23829999999999998,0.4207,0.33740000000000003,0.26230000000000003,0.3431,0.24989999999999998,0.33899999999999997,0.2942,0.3486,0.22899999999999998,0.35340000000000005,0.2454,0.3457,0.21550000000000002,0.2936,0.2489,0.3674,0.2194,0.3481,0.24239999999999998,0.29660000000000003,0.2299,0.32799999999999996,0.2652,0.2988,0.2593,0.3114,0.2403,0.3095,0.21530000000000002,0.30670000000000003,0.19829999999999998,0.2064,0.19640000000000002,0.2497,0.20800000000000002,0.20670000000000002,0.2116,0.249,0.19870000000000002,0.1158,0.1962,0.23940000000000003,0.2078,0.0,UNVR
Return on Capital Employed (Quarter),0.2775,0.2684,0.2815,0.1524,0.20989999999999998,0.2393,0.3454,0.2596,0.2505,0.2366,0.2768,0.2936,0.2353,0.2284,0.2809,0.3147,0.314,0.29410000000000003,0.2433,0.2647,0.6318,0.31760000000000005,0.3425,0.3417,0.3159,0.3191,0.386,0.342,0.309,0.36,0.33530000000000004,0.3754,0.287,0.3005,0.3354,0.3896,0.2918,0.3461,0.3312,0.30160000000000003,0.3081,0.3429,0.37070000000000003,0.3154,0.379,0.32299999999999995,0.33990000000000004,0.32130000000000003,0.3058,0.3118,0.27940000000000004,0.26230000000000003,0.2631,0.2443,0.2873,0.263,0.2962,0.26789999999999997,0.28,0.1534,0.2829,0.2803,0.5375,0.0,UNVR
Interest Coverage (Quarter),110.4,83.72,44.53,40.18,105.66,159.88,79.94,54.64,30.82,38.67,48.12,26.37,107.11,27.49,45.98,42.59,26.51,67.08,67.05,175.21,321.33,62.13,59.37,75.38,57.04,138.93,64.49,88.23,39.44,93.26,50.76,39.01,60.2,2968.39,63.49,95.63,50.41,249.57,39.37,183.65,207.93,545.88,109.46,104.09,136.92,101.87,61.67,3027.37,79.35,262.14,313.3,37.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNVR
Share Outstanding,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,8780000000.0,9440000000.0,9440000000.0,9440000000.0,0.0,INDF
EPS (Quarter),172.71,195.5,438.44,195.1,198.77,61.83,268.53,254.27,225.09,194.1,196.9,307.85,103.64,163.87,159.87,156.85,112.26,136.2,153.68,153.31,98.39,87.4,135.37,101.45,114.63,121.43,137.22,103.01,114.92,130.46,123.63,146.28,-5.39,98.04,99.09,97.49,84.3,104.3,156.42,66.25,24.91,111.73,82.27,371.41,-191.77,98.95,92.82,85.81,84.65,96.22,83.78,125.71,117.89,108.55,95.98,77.02,111.27,110.23,26.84,-3.35,55.09,66.05,72.38,0.0,INDF
PE Ratio (Quarter),38.36,37.6,14.14,34.47,30.31,114.02,22.16,24.88,28.21,31.81,33.52,22.25,68.99,39.82,39.72,50.53,68.59,51.58,41.48,48.59,59.97,76.09,53.19,75.16,73.5,70.82,58.3,76.93,75.7,55.57,58.44,35.38,-1020.41,67.06,75.18,69.24,83.04,64.24,46.67,99.62,283.02,65.78,90.56,15.75,-29.46,49.01,52.25,53.61,59.66,59.76,64.45,38.78,46.23,38.23,39.33,46.09,27.19,17.15,35.02,-277.61,35.58,36.34,32.12,0.0,INDF
Price to Sales (Quarter),2.09,2.53,1.78,1.97,1.89,2.44,1.9,2.09,2.19,2.38,2.36,2.62,3.24,2.85,2.89,3.71,3.51,3.17,2.92,3.51,2.76,3.18,3.59,3.92,4.23,4.24,3.94,4.12,4.84,3.62,3.84,2.75,3.23,3.28,4.35,4.49,3.76,3.32,3.92,3.52,4.29,4.61,5.09,4.01,3.91,3.34,3.6,3.49,3.72,4.56,4.41,4.24,4.7,4.13,3.56,3.49,2.66,1.78,0.93,0.92,1.69,2.25,2.48,0.0,INDF
EBITDA (Quarter),6375470000000.0,4879630000000.0,5893870000000.0,6520610000000.0,6318040000000.0,4589880000000.0,6096630000000.0,5630320000000.0,4704700000000.0,4539220000000.0,5780560000000.0,5016160000000.0,3912050000000.0,3093280000000.0,4250290000000.0,3462410000000.0,3202620000000.0,3030550000000.0,3282960000000.0,3066770000000.0,3024860000000.0,2854550000000.0,3002940000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INDF
Return on Assets (Quarter),0.008,0.0091,0.021,0.0095,0.0095,0.003,0.0126,0.0124,0.0115,0.0101,0.0102,0.0166,0.005600000000000001,0.0139,0.013700000000000002,0.0143,0.0102,0.0123,0.0138,0.0139,0.009000000000000001,0.008199999999999999,0.0128,0.0101,0.011399999999999999,0.011899999999999999,0.014199999999999999,0.011000000000000001,0.010900000000000002,0.0123,0.0118,0.013999999999999999,-0.0005,0.0094,0.0098,0.01,0.0086,0.0106,0.0169,0.0074,0.003,0.0151,0.011899999999999999,0.055,-0.029500000000000002,0.015300000000000001,0.014499999999999999,0.0141,0.013999999999999999,0.0161,0.0151,0.0233,0.024100000000000003,0.0227,0.0203,0.0167,0.024,0.024,0.0058,-0.0007000000000000001,0.014499999999999999,0.018600000000000002,0.0213,0.0,INDF
Return on Equity (Quarter),0.026000000000000002,0.030299999999999997,0.0675,0.0318,0.0337,0.0105,0.0455,0.0463,0.04360000000000001,0.037200000000000004,0.0388,0.0638,0.0229,0.0354,0.0353,0.0365,0.027200000000000002,0.0342,0.0384,0.04,0.0267,0.0245,0.0367,0.0286,0.0327,0.0359,0.039700000000000006,0.031200000000000002,0.0352,0.0412,0.0384,0.0471,-0.0018,0.034,0.0333,0.0333,0.0292,0.0375,0.0567,0.0246,0.0097,0.045700000000000005,0.032799999999999996,0.15380000000000002,-0.08230000000000001,0.0444,0.0403,0.0388,0.039900000000000005,0.04730000000000001,0.0421,0.0658,0.0891,0.08869999999999999,0.0788,0.0666,0.10130000000000002,0.10980000000000001,0.0273,-0.0034000000000000002,0.061500000000000006,0.08220000000000001,0.0909,0.0,INDF
Return on Capital Employed (Quarter),0.0352,0.0257,0.0329,0.037200000000000004,0.0364,0.024900000000000002,0.0368,0.0349,0.029300000000000003,0.0267,0.0357,0.0318,0.0288,0.0294,0.047,0.0379,0.0345,0.0329,0.038900000000000004,0.0362,0.0348,0.0308,0.0367,0.0294,0.0339,0.0302,0.0405,0.0361,0.0286,0.031400000000000004,0.0276,0.0296,0.0246,0.0326,0.0273,0.0182,0.0263,0.039700000000000006,0.033100000000000004,0.0348,0.0368,0.0338,0.0285,0.033100000000000004,0.0405,0.042,0.043,0.0415,0.04360000000000001,0.0444,0.0468,0.055,0.057800000000000004,0.0576,0.0478,0.0449,0.055099999999999996,0.0432,0.0475,0.0346,0.0516,0.0672,0.1406,0.0,INDF
Interest Coverage (Quarter),6.12,4.49,6.37,2.15,2.6,1.56,4.97,5.49,241.95,7.69,3.15,23.0,2.28,7.67,3.33,6.36,5.57,4.96,5.91,12.45,3.17,3.2,5.17,4.94,5.35,5.65,7.98,6.15,4.94,5.4,4.6,6.26,1.05,2.94,2.28,3.78,3.93,6.28,4.48,2.82,1.24,4.58,5.32,4.36,8.14,6.78,7.06,5.88,8.6,7.35,7.99,7.7,5.73,5.65,4.37,3.69,3.81,2.67,2.89,2.0,4.04,4.71,5.15,0.0,INDF
Share Outstanding,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,24030000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,9540000000.0,0.0,ANTM
EPS (Quarter),39.9,9.43,69.21,49.69,45.81,2.52,60.98,6.3,22.89,22.06,26.23,13.05,31.25,15.26,-11.73,-15.29,8.13,8.08,7.14,10.12,11.93,4.11,10.22,19.47,6.85,-20.92,0.28,1.1,1.13,0.24,0.22,-16.76,-67.31,-16.33,-25.18,-22.16,7.84,-38.38,-28.58,6.49,-2.68,-9.32,48.48,247.98,15.91,10.15,39.75,38.78,56.03,70.97,36.33,76.71,19.74,58.11,21.04,32.49,7.08,13.56,9.28,-26.51,16.46,82.78,70.8,0.0,ANTM
PE Ratio (Quarter),45.49,206.79,30.2,39.95,42.35,714.29,40.01,357.14,100.04,104.26,85.78,148.28,22.56,39.65,-38.36,-54.94,119.93,104.58,123.95,75.59,70.83,216.55,75.83,32.1,93.43,-33.22,2607.14,813.64,725.66,3020.83,2109.09,-18.74,-7.22,-41.64,-34.39,-48.1,141.58,-28.43,-39.71,168.1,-529.85,-107.3,28.26,5.16,84.85,132.12,45.28,41.77,26.77,29.24,63.31,31.94,120.31,33.4,114.07,67.71,346.05,149.34,117.56,-41.15,88.7,38.35,47.32,0.0,ANTM
Price to Sales (Quarter),4.72,4.65,4.33,3.89,3.13,4.79,6.02,4.52,5.98,6.85,5.87,4.98,1.92,3.61,2.08,2.47,2.32,2.47,3.42,3.48,2.5,3.52,3.25,2.64,3.89,12.28,10.63,8.08,8.63,7.99,5.63,5.07,3.88,1.3,2.88,2.82,5.8,6.18,4.7,4.18,5.05,3.42,3.91,3.68,4.87,6.31,6.97,6.11,4.88,6.83,11.02,7.75,16.03,6.96,13.83,8.59,12.55,10.95,3.94,5.16,6.94,8.71,15.28,0.0,ANTM
